date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:29	219/219	U-----	200	untouched ('OK')	text/plain	etag:W/%2263f3cedd-154%22	https://www.classcentral.com/robots.txt		(from )
18:50:30	664905/664905	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2021%20Feb%202023%2015:50:31%20GMT	https://www.classcentral.com/	C:/testt/www.classcentral.com/index.html	(from )
18:50:30	9463/9463	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2019:49:49%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/testt/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
18:50:31	2206/2206	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/testt/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
18:50:31	975/975	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/testt/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
18:50:31	731/731	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/testt/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
18:50:31	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2263f3cedd-2a1%22	https://www.classcentral.com/site.webmanifest	C:/testt/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
18:50:31	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263f3ce77-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/testt/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
18:50:32	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%2263f3cedd-391%22	https://www.classcentral.com/opensearch.xml	C:/testt/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
18:50:32	892/892	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/testt/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
18:50:32	892/892	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	C:/testt/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
18:50:32	988/988	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	C:/testt/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
18:50:33	4464/4464	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	C:/testt/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
18:50:33	10164/10164	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	C:/testt/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
18:50:33	12656/12656	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:16:17%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	C:/testt/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
18:50:33	5360/5360	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/testt/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
18:50:33	7748/7748	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	C:/testt/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
18:50:34	6348/6348	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:48:06%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	C:/testt/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
18:50:34	6840/6840	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	C:/testt/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
18:50:34	4672/4672	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	C:/testt/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
18:50:34	12352/12352	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	C:/testt/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
18:50:35	13324/13324	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2006:14:11%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	C:/testt/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
18:50:35	5268/5268	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2020%20Feb%202023%2019:49:48%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	C:/testt/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-600-semibold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
